"id","group","RHM","IC_NE","UVM","IC_NW","LHM","IC_SW","LVM","IC_SE"
1,1,1.22954538882307,NA,1.0347426781692,NA,0.981448169736435,NA,1.28585457829983,NA
2,1,1.90024928876146,NA,0.645993630948912,NA,0.789614215614743,NA,0.919947316208587,NA
3,1,1.31258462453971,NA,0.996894811426041,NA,0.587678066885317,NA,2.23476201198126,NA
4,1,1.72628089477899,NA,1.33341483742484,NA,1.5104657573676,NA,1.93307213210213,NA
5,1,2.38261385800407,NA,0.26405558931114,NA,2.08691475454882,NA,0.700867072624659,NA
6,1,1.26938750286419,NA,1.00171107764757,NA,0.742277883730049,NA,1.5023271092923,NA
7,1,-0.583791854271115,NA,0.2471509699221,NA,0.716274018509861,NA,3.29982119475155,NA
8,1,1.3349931974332,NA,0.319550601849463,NA,5.32118042572551,NA,0.365615403001661,NA
9,1,1.52172228276311,NA,0.943934168349946,NA,0.477233764549921,NA,1.89146733336341,NA
10,1,1.13458849021987,NA,0.9208055324157,NA,1.07544604503843,NA,0.962947118794931,NA
11,1,1.96528106831586,NA,1.2515464859532,NA,0.264510934595032,NA,0.530136555459257,NA
12,2,1.37598155806041,NA,0.772328233455456,NA,0.925537999054052,NA,0.853440161127787,NA
13,2,1.20324881747364,NA,0.95949494584195,NA,0.985031722188257,NA,0.725778685296438,NA
14,2,1.20283655280151,NA,1.31945870020602,NA,0.845153000613154,NA,0.684701338630122,NA
15,2,0.866831961603171,NA,1.31312819274131,NA,1.14354219944232,NA,0.665974200294748,NA
16,2,0.994858035025015,NA,1.20909480407212,NA,1.08724214175818,NA,0.913127062580775,NA
17,2,1.15351331378431,NA,1.04421658083335,NA,1.29329660427666,NA,0.382861603597869,NA
