"id","eye_cond","RHM","IC_NE","UVM","IC_NW","LHM","IC_SW","LVM","IC_SE"
1,1,2.20628932256361,2.01419622415759,1.74471391081873,1.86995850646341,2.01258239166567,1.91055361128011,2.09228101682316,2.91062302351122
2,1,3.11865567372254,2.34528445094762,2.43712495464839,3.19225152445982,2.49861719207648,2.89405620876866,1.95822449952066,2.85642075593996
3,1,2.70231914821578,3.04803224172533,3.4421726460043,2.30560475409173,1.9655058820293,1.55391419688261,1.48924088142117,1.89466915209375
4,1,1.31620278573187,2.47063354918017,2.56064038412475,2.40345203300695,1.94734328047319,1.38403111216749,1.19563777223284,0.879256927793439
5,1,1.96127764107998,1.69805920364255,2.29149928780859,2.35251516298374,2.13581368048119,1.89908971947234,1.83629785173632,1.79365655249927
6,1,3.90712342735728,3.61835997898938,3.06410623457707,2.67494966892156,3.08397679267729,2.30071903554642,0.0927969010785314,1.90719686867571
1,2,3.1137252316508,2.10253587398059,1.24137076345955,1.42831553759687,1.56586355232414,1.22165446346726,1.20741006679207,2.28865823048111
2,2,2.6503396198051,2.18077262543109,2.16318858511291,1.90231411994154,2.2241328216828,1.81863359330938,1.52153276997655,2.59457585323345
3,2,2.13429932034239,2.54426619107951,1.8633847076134,1.46774747806544,1.43286324967225,1.09220201312358,1.2639504247059,1.96791211172102
4,2,2.23773869348697,2.41520897932583,2.82307982744195,3.27389848594069,2.7410879678611,1.60058431668969,1.53480300447749,2.01575887924198
5,2,2.05292872829383,2.12565623564438,2.58714258149191,2.28672194635906,2.25115830631848,1.72120313637485,1.84812780661118,1.43848384975102
6,2,1.69069086034326,2.14510154985591,2.00330861516234,3.01106233480335,3.19218328553067,2.44578384238995,1.76516878446781,1.92018306747826
