"id","group","RHM","IC_NE","UVM","IC_NW","LHM","IC_SW","LVM","IC_SE"
1,1,1.22954538882307,NA,1.0347426781692,NA,0.981448169736435,NA,1.28585457829983,NA
2,1,1.90024928876146,NA,0.645993630948912,NA,0.789614215614743,NA,0.919947316208587,NA
3,1,1.31258462453971,NA,0.996894811426041,NA,0.587678066885317,NA,2.23476201198126,NA
4,1,1.72628089477899,NA,1.33341483742484,NA,1.5104657573676,NA,1.93307213210213,NA
5,1,2.38261385800407,NA,0.26405558931114,NA,2.08691475454882,NA,0.700867072624659,NA
6,1,1.26938750286419,NA,1.00171107764757,NA,0.742277883730049,NA,1.5023271092923,NA
7,1,-0.583791854271115,NA,0.2471509699221,NA,0.716274018509861,NA,3.29982119475155,NA
8,1,1.3349931974332,NA,0.319550601849463,NA,5.32118042572551,NA,0.365615403001661,NA
9,1,1.52172228276311,NA,0.943934168349946,NA,0.477233764549921,NA,1.89146733336341,NA
10,1,1.13458849021987,NA,0.9208055324157,NA,1.07544604503843,NA,0.962947118794931,NA
11,1,1.96528106831586,NA,1.2515464859532,NA,0.264510934595032,NA,0.530136555459257,NA
12,1,2.21171591629044,NA,0,NA,-0.0608283762224928,NA,2.61388471803942,NA
13,1,3.24452393078624,NA,0.546692853232506,NA,1.72712125874531,NA,0.17362293619667,NA
14,1,1.89157092022822,NA,1.28052032406223,NA,0.351919386177648,NA,0.472375848256573,NA
15,1,0.548708896690232,NA,0.365871546000311,NA,2.11238174855124,NA,1.60242432548709,NA
16,1,1.1447216508499,NA,0.404545361136493,NA,1.81429434401746,NA,1.69362265039723,NA
17,1,2.03509424941375,NA,0.282851581396395,NA,1.04925952298225,NA,1.75847903120261,NA
18,1,0.377391941588337,NA,1.2637247782471,NA,1.22327171209872,NA,1.70925360142054,NA
19,1,0.993941127651918,NA,1.12477418767935,NA,0.817456976717837,NA,1.27267907295964,NA
20,1,1.41638041184891,NA,1.26998639989819,NA,1.22668717127603,NA,0.613627652144258,NA
21,1,1.30472816571231,NA,1.1804091864381,NA,0.70549894985536,NA,1.03750344029606,NA
22,1,2.30466935403478,NA,0.336024405096389,NA,2.55705721343329,NA,0.343453971308398,NA
23,1,0.754418475905388,NA,1.07900614121451,NA,1.57012029428202,NA,1.31944506377814,NA
24,1,1.1630496210636,NA,1.1114692197181,NA,0.204499522613354,NA,1.14617758175503,NA
25,2,1.37598155806041,NA,0.772328233455456,NA,0.925537999054052,NA,0.853440161127787,NA
26,2,1.20324881747364,NA,0.95949494584195,NA,0.985031722188257,NA,0.725778685296438,NA
27,2,1.20283655280151,NA,1.31945870020602,NA,0.845153000613154,NA,0.684701338630122,NA
28,2,0.866831961603171,NA,1.31312819274131,NA,1.14354219944232,NA,0.665974200294748,NA
29,2,0.994858035025015,NA,1.20909480407212,NA,1.08724214175818,NA,0.913127062580775,NA
30,2,1.15351331378431,NA,1.04421658083335,NA,1.29329660427666,NA,0.382861603597869,NA
