id,group,LVM,UVM
1,1,1.28585457829983,1.0347426781692
2,1,0.919947316208587,0.645993630948912
3,1,2.23476201198126,0.996894811426041
4,1,1.93307213210213,1.33341483742484
5,1,0.700867072624659,0.26405558931114
6,1,1.5023271092923,1.00171107764757
7,1,3.29982119475155,0.2471509699221
8,1,0.365615403001661,0.319550601849463
9,1,1.89146733336341,0.943934168349945
10,1,0.962947118794931,0.9208055324157
11,1,0.530136555459257,1.2515464859532
12,1,2.61388471803942,0
13,1,0.17362293619667,0.546692853232506
14,1,0.472375848256573,1.28052032406223
15,1,1.60242432548709,0.365871546000311
16,1,1.69362265039723,0.404545361136494
17,1,1.75847903120261,0.282851581396395
18,1,1.70925360142054,1.2637247782471
19,1,1.27267907295964,1.12477418767935
20,1,0.613627652144258,1.26998639989819
21,1,1.03750344029606,1.1804091864381
22,1,0.343453971308398,0.336024405096389
23,1,1.31944506377814,1.07900614121451
24,1,1.14617758175503,1.1114692197181
25,2,0.853440161127787,0.772328233455456
26,2,0.725778685296438,0.959494945841949
27,2,0.684701338630122,1.31945870020602
28,2,0.665974200294748,1.31312819274131
29,2,0.913127062580775,1.20909480407212
30,2,0.38286160359787,1.04421658083335
