id,group,HM,VM
1,1,1.10549677927975,1.16029862823452
2,1,1.3449317521881,0.78297047357875
3,1,0.950131345712513,1.61582841170365
4,1,1.61837332607329,1.63324348476348
5,1,2.23476430627644,0.4824613309679
6,1,1.00583269329712,1.25201909346994
7,1,0.0662410821193734,1.77348608233682
8,1,3.32808681157936,0.342583002425562
9,1,0.999478023656518,1.41770075085668
10,1,1.10501726762915,0.941876325605315
11,1,1.11489600145544,0.890841520706229
12,1,1.07544377003397,1.30694235901971
13,1,2.48582259476578,0.360157894714588
14,1,1.12174515320294,0.876448086159402
15,1,1.33054532262073,0.984147935743699
16,1,1.47950799743368,1.04908400576686
17,1,1.542176886198,1.0206653062995
18,1,0.800331826843528,1.48648918983382
19,1,0.905699052184878,1.19872663031949
20,1,1.32153379156247,0.941807026021225
21,1,1.00511355778384,1.10895631336708
22,1,2.43086328373403,0.339739188202394
23,1,1.1622693850937,1.19922560249632
24,1,0.683774571838476,1.12882340073656
25,2,1.15075977855723,0.812884197291621
26,2,1.09414026983095,0.842636815569193
27,2,1.02399477670733,1.00208001941807
28,2,1.00518708052275,0.989551196518027
29,2,1.0410500883916,1.06111093332645
30,2,1.22340495903048,0.713539092215609
