0,-1,0,0.46316
270,1,1,0.3031
270,-1,0,0.24866
270,-1,0,0.10786
225,1,1,0.053299
315,-1,1,0.33474
270,-1,0,0.090161
45,-1,1,0.12994
180,1,0,0.35704
90,-1,0,0.096506
135,1,0,0.30792
180,-1,1,0.010137
225,1,1,0.30585
135,1,1,0.64256
90,-1,0,0.18738
315,-1,0,0.63109
225,-1,1,0.02359
45,-1,1,0.043513
0,1,1,0.45911
90,-1,1,0.12373
315,1,0,1.0655
0,1,1,0.55895
45,-1,1,0.14176
90,1,1,0.017774
45,-1,1,0.61289
315,1,1,0.44216
135,-1,1,0.81455
270,1,1,0.5546
270,-1,0,0.068095
180,1,1,0.055486
0,-1,1,0.010177
180,1,1,0.010146
135,1,0,0.36331
315,-1,0,0.36193
180,-1,1,0.27377
90,-1,0,0.12822
315,-1,0,0.43018
315,1,1,0.14308
270,1,1,0.41103
0,1,1,0.29591
315,-1,1,0.47721
315,1,1,0.23814
180,1,1,0.15178
225,-1,1,0.097453
180,-1,1,0.013266
225,-1,0,0.49718
315,-1,0,0.21395
225,1,1,0.41156
225,-1,1,0.42414
45,-1,1,0.010921
45,1,1,0.34349
45,-1,1,0.27394
135,1,1,0.37127
90,-1,0,0.089232
135,-1,1,1.0147
90,1,1,0.091978
45,-1,1,0.18441
135,-1,1,0.20952
135,-1,0,0.35867
315,-1,0,0.18979
0,1,1,0.20775
135,-1,1,0.32463
270,1,1,0.41191
45,1,0,0.51256
180,-1,0,0.37589
270,1,1,0.17238
180,-1,0,0.23208
180,1,1,0.34555
180,-1,0,0.55718
225,1,1,0.20608
135,1,1,0.36916
270,-1,0,0.1667
90,-1,1,0.21252
135,1,1,0.21805
90,-1,0,0.40639
315,-1,0,0.18986
45,1,1,2.8712
0,1,1,0.010184
270,1,1,0.14726
315,-1,0,0.34287
135,-1,1,0.15355
225,-1,0,0.043177
0,1,1,0.13926
225,-1,1,0.26275
225,1,1,1.8823
225,-1,1,0.50217
0,1,1,0.010164
135,1,1,0.18325
180,1,1,0.31779
180,-1,0,0.12671
135,-1,1,0.046271
315,1,1,0.027772
225,1,1,0.010148
45,1,1,0.16259
45,-1,1,0.01014
315,1,1,0.010988
90,-1,1,0.50801
0,1,0,0.26322
225,-1,0,0.079565
0,-1,0,0.16905
180,1,1,0.20676
45,1,1,0.068939
0,-1,0,0.030958
135,-1,1,0.010163
135,1,0,0.12403
225,-1,1,0.44451
270,-1,1,0.30903
135,-1,1,0.11066
270,-1,1,0.26204
270,-1,0,0.057108
0,1,1,0.010147
90,1,1,0.10509
270,-1,1,0.01021
225,-1,0,0.021379
225,1,1,0.010217
135,1,1,0.17272
135,-1,1,0.010138
0,-1,1,0.13252
45,-1,1,0.60146
45,1,1,0.28878
225,-1,0,0.030269
0,-1,1,0.232
0,1,1,0.25803
180,-1,0,0.58323
315,-1,1,0.025633
45,-1,0,0.23753
0,1,1,0.7245
135,-1,1,0.010175
225,-1,1,0.60406
90,1,0,0.22095
315,1,1,0.80008
270,1,0,0.43994
0,1,1,0.66085
0,-1,1,0.2553
180,-1,0,0.14686
270,1,1,0.33767
0,-1,0,0.068813
90,1,1,0.17459
45,-1,0,0.42223
270,1,1,0.22531
135,1,1,0.09282
180,1,1,0.042446
225,-1,0,0.40159
45,-1,1,0.34489
180,-1,1,0.01241
0,1,0,0.59436
0,-1,0,0.49282
270,1,1,0.35966
315,-1,0,0.52897
135,-1,0,0.3014
135,-1,1,0.057033
45,-1,1,0.079172
225,1,1,0.19883
180,-1,0,0.035949
225,1,1,0.11773
0,-1,0,0.09152
180,1,1,0.057181
0,1,1,0.041593
225,-1,0,0.085561
180,1,1,0.077376
45,-1,0,0.12734
135,1,1,0.010163
270,1,1,0.072666
225,1,1,0.010147
